Text,CB_Label
I feel you but I also feel where they are coming from too  esp if the money is good. Damn do I sound like a sell out? lol,0
Lol I say gay all the time in the gay way and I'm pretty gay.. gay gay gay gay..  I hope more people get offended,0
LOL damn.. for some underwear.. thats dedication,0
I hate that!! If you're on a roll w/ writing I'd stay home =) Unless its something crazyyy going on,0
dammnn! Long ass day lol,0
damn theres really no females like that lol. have fun for me thoughh,0
" i was bored by her.  i was sitting there like a nerd like ""oh thats interesting""",0
I don't hate you  promise,0
girl these kids are lazy these days  you gotta stay on them.  my oldest is a neat freak  but those other two..... DAMN!,0
GIRL YOU MADE ME SPIT!!! ROFLMAO!!!! YOU ARE TOO DAMN MUCH!!!!!!!!!,0
Hahaha I'm sure Bronx can beat some ass. I saw his bass on the internet. It's not as bad as some other names I've heard,0
Awwww! That sucks when that happens  be strong love,0
ooo ok. Thanks this is a good time for me to be ill. Sucks i cant call out...too much work,0
"""Is it duncan  if it's I'm gonna be so....hug him...because I love him"" Backing out of the hate quotes? =P",0
Thank you. I'm sorry  did you e-mail me already? I seem to have misplaced it if you did. I am a loser.,0
I fucking forgot it. So mad. Just have my phone.,0
somewhere quiet....goin to the mountains..and i hate to say this but that Nuvo shyt is nasty,0
funny how folks get mad @ southern kids makin up dance songs..then a grown ass man does it and its all good cos he prod ether,0
You're lucky you're not currently in Bethlehem. Try having to constantly hear it. I hate it more! And the tourists suck worse.,0
ive also made yarn and synth hair braid ones. Can wear as pig tails or one big pony tail,0
:-( That sucks... I've got pretty muscular calves from dancing but usually do okay with the lace ups.,0
its gay. Went to sleep at 3. Come and ill make Haha,0
@sspitsbergen here's hoping the fuck has to duck shoes for the rest of his natural born life.,0
@blackslashwhite LOL fuck you guys wish I was hanging out somewhere cool http://tinyurl.com/a4nst2,0
good  have some for me... im maintaining sobriety for the night... sucks.. as a matter of fact  have three.,0
fight camilla then bitch!,0
she sucks. :),0
OMG I hate when that happens :(,0
Damn son  you drive a tank? It costs me less than $25.,0
Now you can talk about how your wife bugs you to stop playing games all the damn time when you write your reviews! Congrats!,0
I should know better by now  but I'm really thinking about picking up that new Lumines... Damn you  Mizuguchi.,0
- can be quite a rough routine but I'm gonna rock out with my cock out! Doctors orders &#9824;,0
- u can't help but fucking love women like that! Damn &#9824;,0
- Damn right! So wats the 501 on twinkle town? &#9824;,0
furthermore they do have gtalk integration  what twitter couldn't handle and some kick ass rooms.. very interesting..,0
actually  Andre is more squirrely than the Kia. I hate it a lot.,0
omg dude i'm sorry! that really sucks! wear pants or opaque tights! 1 time i ran into a fire hydrant (yeah...) & was bruised 4eva,0
damn... please teach me to be as awesome as you...,0
i would hate to be the twat thats being twitted. *ehem*ehem* but then again  its better than being the cunt thats called,0
In CA right now  and it's wonderfully warm. My father tells me it's cold and miserable in Ohio right now  though. Sucks to be him.,0
It's fucking brilliant  is what I think.,0
I hate that I always do that I don't interact with anyone at family things like that.,0
um how does a big fat no sound,0
that is NOT fucking cool how dare she say that.i hate racist pigs! you guys are great ppl and im sorry ppl take advantage of that!,0
http://twitpic.com/yn2s - you are SUCH a nerd baby...suriously....,0
 feeling rusty myself  just got my ass well and truly kicked!!,0
needs her ass kicked - this is 4 car events in 18 months and keep getting worse,0
damn dude!,0
FUCK ME !,0
Damn  hope you getz better soon !!!,0
Ah shut down is a common fuck up on OS X86  make sure you do a -v -f at darwin !,0
Meh my internet connection always sucks.,0
Thats good. I hate it whe  people ruin things for other people,0
God damn the Mets hahah :(,0
Ah. Hate it when a good fantasy team winds down at the end of the season  but it happens quite a bit. No. 1 seed curse. #ffb,0
how gay would that be!,0
LOL damn. great article though. too bad it seems to be airplaning for someone :-),0
It was a great fucking song thougu,0
That sucks. I wish you strength.,0
The new B. Folds single sucks. It's a Regina Spektor song featuring Folds. It's so much her style not his.,0
I still think I could design a better twitter client. If only I could program it. Damn you   Objective-C.,0
You must not mind finger prints all over everything. I hate smudges on my CDs.,0
can u please make sure you fed the damn thing too... hehehe,0
:)  I need a volunteer/guinea pig. Send one my way?,0
He's been my guinea pig for years. Hopefully my prof credentials don't rest on that ;),0
As much as I hate to resort to the old sub-standard of inquiry....  orly?,0
FUCK YEAH!  You know what goes good with cookies  right?,0
Oh Jen  I'm so sorry. That really  really sucks. Try some disposable cameras for Disney.,0
ass  I wanted that burger but my better judgement took control of the situation,0
pig pen is hotter :P,0
you're killin' me. so  we can conquer the space-time continuum on mac and pc but we can't copy a fucking nested folder?,0
damn datz alot of tats but l00kin good beezy which one hurted da most?,0
LMAO life in the fast tweet lane. i never fail whale yet.but than again only 709 tweets.does that matter?,0
I hate it when I have no day job and can't just sit around reading or writing.  *sigh*  :D,0
head ass I'm in chicago actually with VMarie lol,0
good luck with the event. Clearly you've been busting your ass for it. Hope it goes well!,0
Dude  that sucks. I dedicate this hot chocolate to you bro! Hmm... yummy!,0
It's latent hate over the fact that my bucs suck.,0
damn even I don't often do that much of a vat tour,0
At least they only want a 3-5 minute promo. I hate when they want a 15 min promo- all aspects get covered  but it's too boring,0
Can you believe we had another suburb wide Blackout - damn Christmas Lights!   Johnny Walker Blue Label by Candle light,0
Noah and the Whale!? That makes me think of Saturn commercials. :),0
i hate you right now you woke me u last night and then i had a crappy sleep  i feel like shit now.,0
lol!!  And for the record  that shit didn't do a damn thing to help.  Whatever.  ;),0
just waiting.....aaahhhh.....too damn long,0
I can understand if he want's to stop touring  maybe he wants to have a family or something but no touring sucks :(,0
i hate u but not really,0
It even stopped between floors and alarm was going off. Some dude finally helped me. It was damn funny.,0
afraid not! But high fat patries just what's needed when feeling fragile  I'm pathetic Ive no stamina for nights out these days,0
Wow! We won't be above freezing for several days..No need to share your frigid air  Canada! Pretty  but damn cold.,0
Matt this game sucks  we need some Sharks mojo!!!,0
I hate Lucky Charms. Who really wants to grub on stale marshmallows? Gross.,0
I always watch My  Big Fat Greek Wedding when it's on.  I love Under the Tuscan Sun & Crossing Delancey too,0
I would have done the same but been a bitch about it lol,0
@katiebabs I am not the target demo for an emo teen movie so I suppose my op of the relative hotness of the actors matters not.,0
I'm glad to know your trusty little saturn kicked snow's ass. Snow had it coming.,0
- damn I hate it when the weather doesn't help my team - and that is New York -north - should be cold and dreary - LOL,0
- can't hate the skins - their owner sucks - like Al davis - both need to retire - but not give it to their kids.,0
fuck that...invite ME to the geriatric party!,0
you and me both man...its not the destination thats in question its that damn journey...where is that pesky fast forward button?,0
I see you homie....Life's A Bitch 09': http://sharebee.com/c0756ec0,0
I got my system working in here. I'm multi-tasking my ass off!,0
i ain cutting my phone off until i see developed land. i need gps tracking shit is damn near haiti!,0
Damn  guess I ain't the only one having a shitty day...LOL Hopefully  I can restore my joint when I plug it up to iTunes.,0
still miami just got through customs. these fucking immagrants are driving me nuts! 2nd language my ass fuck em' all...,0
"your pal jaron""",0
Save a Fighter Pilot's Ass  by Oscar Brand. Funny shit.,0
Isn't lovely? Fuck You Penguin FTW.,0
look out for the best line &quot;damn the budget&quot;,0
Damn  I have no memory of that spin-off. I'm reading about it now and see Lamont went off to work on the Alaska Pipeline...,0
I'm working from home... but that's cuz I'm swamped and have a dental appt  not cuz I'm gay. :-),0
please don't hate. :-),0
Ohhh  that sucks - talk about irony... Can you call anyone to pick it up & bring it to you?,0
FYI: That leggy gay moose is a Cariboo btw.. :) Happy holidays!,0
definitely need to; part of my 09 goal  thinking spring time. Not moving in this weather. It will be damn sweet!,0
That's what I'm sayin' my man. We all know Taco Bell ain't fine dining  but DAMN. Free tacos? C'mon people.,0
Hate them.,0
Hopefully it's not layoffs.  and if it is  you better not be one.  you make kick ass sites.,0
damn show off with yer hacked iPhone!,0
liked you last video  like your views =) + insomnia sucks lol,0
damn right free wifi  everyday at work for me lol,0
Hot Damn!,0
The ass was feeling better. On the bus now about to die from all the bouncing. Ouch.,0
Well  I'm not there yet so thankfully I only have to freak out from here. I call my contractor almost daily though. ;-),0
10 hours? Of sleep? In a row? Damn! That's merely a pipe dream for me. I haven't slept more than 4 hrs in a row in decades!,0
 well I have elf's on my side so you know your going to get you ass kicked,0
he is cuz Syler killed him  he knows how to kill some one. Because he is bad ass  as he is &#252;ber. I think I like syler don't you.,0
I had the same thing on the 24th. It sucks big time. Drink Gatorade!,0
i was forced to watch the pats for too many years... FUCK THAT SHIT!!!!! haha,0
Sorry to hear that  lol. You are going to hate the keyboard for twitter & texting.,0
I own the 1st gen iPod touch and typing sucks. That's why the Storm commercial clowns the iPhone indirectly about the keyboard.,0
LUCKY BITCH :(,0
unemployment sucks in NJ. In Pa  they lookat you your highest quarter and pay you per week what you got in that qtr,0
Twitter is going a little crazy today. API problems  stream problems  DM problems. No whale sightings to speak of though.,0
It completely kicked my ass. Many of my bits are quite tender today.,0
welcome to NJ! We aim to piss everyone else off.,0
ate there Friday and it literally blew my mind---so good--but its not a Fat Louis type of place--much different vibe,0
oh no! Just read about your tree. So sorry  that absolutely sucks. :-(,0
Now I ask ya  would you give a fuck what kind of pants the son-of-a-bitch who shot you was wearing?,0
hate to say it but getting very close to relegation zone!,0
HEY no talking about my ass!,0
you hate loud people  like us?,0
that sucks. gonna replace it or build a new system all together?,0
"DAMN!!!!""",0
why does watching Will & Grace have to mean you're gay?,0
because you HATE ME! I thought the 50% off sticker was a nice touch. (:,0
And I see why you turned his ass down! Dis some bullshit!,0
Yes and I'm sure his monkey ass does too on the effin bus everydamnday!.,0
Hey Navi! Whats going on with your damn Twitter account? Same issues eh? 2009 Time for a new start!,0
LMAO! That girl is syck! Hell I wasn't even born in 1977. Special ass!,0
Damn it  now I have that Kiss song in my head. (Fortunately  I like that one),0
I really hate the countdown pack also rite I got these hot as six rings I would post a pic but my friend got them,0
I guess congratulations are in order  but now you have to write a damn dissertation. What is the topic?,0
Thanks but we have one in a bag somewhere. I hate to take yours just in case you need it sometime. Thanks for thinking of us.,0
 do you hate wikipedia?,0
hope ya get to feeling better. Sucks when I miss out on Lifegroup so I know how ya feel.,0
hahaha I knew you'd hate it,0
dude that sucks go steal a stapler or burn that mother down. We always include our Temps!,0
 hey  I didn't complain! Especially since today I am in total bitch mode!,0
is a dirty dirty DM whore. Retweet. Please.,0
is a cock-measuring dirrrty DM whore.,0
An appropriate tweet  considering the cock measuring. Shall we do it over you?,0
it still exists and all 90 000 of my comp. Employees use it. Hate it. Far too limited,0
"""frankly my dear I don't give a damn"" :)  come and get it !",0
I'm sure you are not a loser !!!! it's always good to have a do nothing day!! sleep well ...peace,0
"""WATCH OUT. TOBY MAD."" Is this real? (please say yes  I need to live in a world where Big ASS Truck Rental and Storage can exist)",0
"Hey  checked out the new podcast  laughed my ass off. I missed you guys. ""Got a new ball belt  you're gonna love it."" Classic.",0
"""Well Ho-Ho-Whore!"" ""Gasp!"" Classic.",0
// i hate you,0
- it's a sweet deal and product. Customer service sucks pooh tho.,0
Why bother doing anything? (Post-nerd procrastination?),0
Why put off tomorrow what you can do today? (Nerd test 101.),0
Cock-up theory a better one  Al - I made a mess of the 2.7 upgrade. I've done it again since on another blog - went perfectly :-),0
I didn't know it was such a controversial cigar  you got people who love it  hate it and people who want to try it again LOL,0
tempted to ask what ass flakes are. dandruff? never- nevermind.,0
sorry it took so long but I am a Grizzlies fan. I am originally from Memphis. Things are looking up with Mayo and Gay in tow.,0
damn that's close to where I work,0
yeah  they wack right now... Need a big man and to get rid of sheed  iverson  and rip ass...,0
sucks but that's life  now we'll give all our tips to @martindeboer :),0
same here. fricken sucks.,0
piggy-chain is a keychain in the shape of a pig In which you push a button @ it turns into a flashlight.,0
I dunno.. but it's damn annoying.,0
YAY! I'm thinking abt that again. Otherwise fone b blowin' up. Plus reading links on BB sometimes sucks.,0
SUCKS don't it?,0
I hate the Dickens out of you. 12:30  tonight. Covert ops.,0
I hate the idea of purposeful personal branding. How about just have a personality and be yourself...online and off?,0
actually if ur gay you have the same exact right to marry as if ur straight.,0
There are more Eagles & Cowboys fans in this world than any other football team.  I just hate football right about now.,0
"Good ones! Mine is ""Merry Christmas  Kiss My Ass  Kiss Your Ass  Kiss His Ass  Happy Hannukah"" burst out laffing every time....",0
He's not worth fretting over. There's better people who still love you up in this bitch.,0
The movies are way better. Movie Light blows ass  though.,0
"Great! Now I've got that damn  ""Thank you for being a friend..."" song stuck in my head...your dream is my nightmare.",0
Damn man  that sucks. Do you think you'll ever get another cat?,0
He's kind of like a gay male version of Edith Ann I bet. http://tinyurl.com/6a8yrr,0
haha yeshhh you are  and you thought i was gonna think its gay -_-,0
damn your doing that with your iPhone camera / wife  me both love it.,0
And we are having a pig roast and beef and goodies tonight before midnight with some of the people - I'm going to be dead tomorow,0
Haha  dont cry when you drop him off. Hate to see him hit you with one of his remarks in a moment of weakness.,0
Sylar/Peter? FUCK YEAH :P Us in the middle?,0
Haha yeah. Jack's already gay. We're just trying to get Zak to come out now XD,0
don't you hate emotions sometimes?  Sneaky things.,0
that damn camera!!! lmao,0
Beans are sadly gassy and cause pain. I might try non-fat yoghurt  though.,0
My gluten-free  newly fat-free diet is also not avenaceous  though technically oats are not glutenous.,0
"Yep. We are tweeting each other too. Mostly with messages like ""U R A NERD."" Indeed  he is the man of my dreams :-)",0
 :(  that sucks.,0
"I am aware. Patient advocate in ED  patient  admin. Now preface launching into history with ""kind of in the industry."" Sucks.",0
yes  i am sick too too too too sick.  it sucks.  i hate it.,0
i may go with velour track suit.  just have to find one! because i hate shopping  even in the best of circumstances,0
 wow! that  is funny!  i'd be soo disgusted if anyone pulled that  on me! they'd be  bitch-slapped.,0
Well fine  they can call them seat protectors in Great Britain but in the US of A they best call 'em ass protectors.,0
Damn dude -- they're all short sleeve shirts! Wanted to order a long-sleeve ringer. It's winter man! Any chance of adding?,0
Ooooooh - didn't hear that story!  Have a bad feeling it likely makes us (Canada) look like wannabe dorks on the fashion radar..?,0
yes  i do hate that. ;),0
we've been catching up on lost. the truth is i dont like it very much but it sucks you in because it's so freakin' weird.,0
Wow-this is fantastic!  How did I miss it until now? my resolution for '09.. loose my baby fat (not from childhood). #GNO,0
hate emails??? for you?? i dont believe it,0
i hate PC's too!! Argh :-),0
it's actually a cool phone  great feel  good size  nice keyboard. Not sure if I'm staying with my Touch or changing. Hate decisions!,0
movie is surprisingly fucking awesome! go pick it up!,0
How bad ass is that?! lol,0
I hate Aaron.  He needs to go away.  Interesting Comments:  Chuck is the secret love child?  I CANNOT WAIT FOR NEW EPISODES!,0
don't get me started about my slumlord. Did you make it into work? It's NUTTY outside. I love this weather! (but hate winter ttc),0
I bet they hate their lives deep down. They always treat me like an idiot when I'm there.,0
hahaha i did txt him back and say gay u woke me up now i cant sleep hahaha wat are you doing? im so bored but cnt sleep haha,0
Excellent Point RT: @tdhurst any good fraternity would have pickles always in stock. not so sure about the ass tattoos though.,0
right there with you! woke up thinking of a hundred things I need to do. hate that!,0
Fuck! Are you dead?,0
 Damn!  I better get busy  I only have 29 updates.,0
i just love the speed & simplicity cum features of Google Chrome,0
Eeeek! I'm scared of the dark. I don't really believe in ghosts  but that would still freak me out.,0
You're right  I hate you for saying hat!,0
I hate having a bunch of pics in my camera roll,0
Yayyyy! Damn irish bitch! Congratulations!,0
I gained this week too  I hate it b/c I knew it before I went in  and held my accountability and wi. It makes me determined,0
oh ok I know what the fail whale is then! Thanks!,0
why can't I bitch about AT&T? I have it for god's sake. I hate the boys club...,0
let's get ready to rumble lol what a loser he is. Let's get ready to never give him the mic again,0
You would hate to see my sister :/,0
"~santi~""",0
I feel really sad for the fourth  fat  cat who can't play in the tunnel!,0
Sure. Well  long day being going to five stores in a row. I hate shopping.,0
Well damn you just made this Jersey boy drool alittle. That's how I like to see my Jersey women step out. You have great feet 2,0
Owww  I feel you babygirl. I swear country boys and girls are so fucking thirsty. You stay on your NJ shyt you will be fine!,0
hmmm me either!!! well wait I've had like two... maybe more I dunno... I hate having my photo taken I do know that much!,0
Tough love is key. Though I'd never do that to my brother because he has done so much for me  but she sounds like a bitch.,0
Twitter updates my facebook status you big dick. That way I don't have to do both. Not everyone is nerdy as us with our twitter,0
the only thing i hate more than the man is a raging UTI.,0
If you really like Of Human Bondage  you'll love anything by Shakespeare. Sorry... I'm a Literature nerd and English major...,0
gotcha. No probs here but I expect her to stay up all damn nite next year. :),0
I usually reserve this term of endearment for my sweet @Ginderelly  but.... HOOKER! I hate you. No  I love you. But I hate you.,0
That's because Lithia sucks.,0
"I would pull the ""I'm suing your ass""",0
That's good. It's a bitch to start a computer/laptop from scratch. Music isn't too bad.Do you know what happened to your mac,0
aw I'm a cap too. I'm so gay. Anyway I'll be in ny around then...,0
hey Houston isnt that bad...who am i kidding it sucks anus,0
i guess thats true.. when it rains in ny it sucks but there is always shit poppin in ny.. orlando is boring :(,0
im in the same damn boat!!!!!!,0
I disagree. Freecycle for clothes sucks. Rarely do people post pictures or include good descriptions. Maybe for kids clothes  ok.,0
loooove that game! Haha  I used to be such a Nintendo nerd!,0
I cant leave yet and i had to pee but there was water all over and i didnt want wet socks cause i hate that. Lol,0
gorillas + apes always make me cry. mama apes nursing babies worst. 2nd are bored  ass-scratching primates. but kids dig zoos,0
"on Reservoir...they were walkin...u kno my loud ass was like ""ommmgg hiiii""...haahaa",0
Ay nena..this punk is outta control. His visit went well tho..they took his stitches off but he was actin like a lil bitch whe ...,0
wat! u playing drums! good shit! who da hell else has the ghwt set up? i need2bust there ass (no homo if its a dude that owns it),0
hop off my driving ok im fucking stressed out cuz of that shit. @theotherpplwhodidntreadright ..i was not talkin about ev's tweets,0
omigosh  hate them! I wrote a huge  literally  enormous  sharpie-d note on my door & ran downstairs every hour. Victory at last!,0
if she gets that xbox for me. no one will ever see me for about 5 months ... you'll find me mad fat  smelly  with a huge beard,0
"SEND MO NEY....LOT'S OF MO NEY  Roflmao""",0
oh this sucks . would love to hang out but I am heading to Costa Rica and won't be back until the new year.,0
I hate your direct message. Thanks.,0
ugh I hate the tangle struggle. It will be in a damn pony tail all day and I go to brush it and its like a damn jungle.,0
for real! That's awesome! I love and hate it at the same time  the presidential debates this election made me super heated.,0
LOL NO KIDDING! I would be scared for my life if I were somebody tryna fuck with you! I have no older siblings  I'm jealous!,0
You're so gay  you don't even like boys.,0
you will do fine. good luck. go kick some ass!,0
 oh ratz  I hate that. It's on Gizmodo http://tinyurl.com/4vge9r,0
 I do. Why is it Americans feel the need to be an ass when they travel?,0
and Red Carpet Ready handed my ass to me tonight  in a good way. I am pooped!,0
hate you,0
"Listen. I love the Lord. But when I get to heaven and he asks ""JG*... why were you such a freak?"" I will say:",0
You damn right! LOL,0
trust me. I'd love to say FUCK YOU GMAT! But Georgetown  Northwestern  and Uni of Chicago would say then FUCK YOU JG*,0
damn what you getting in to,0
well damn! Do it big!,0
the entire congregation was gay.,0
Agreed.  Is Dick Clark setting an example of what to do or not to do?  Very sad to see him now God bless him...#nyetwarty,0
late about big having a movie coming out. didnt tupac have that movie out called resurrection a long ass time ago?,0
I hate it when that happens!  Forgeting badge.,0
u r NOT a loser I think ur swell sir!,0
I've been waiting for over half hr for the damn red line. Today kinda sucks!!!,0
damn  after seeing that one I know I didn't win anything!,0
Happy last day @ Y!. I'm sure ur gonna continue to kick ass at @raptr  and that @seldo will miss u dearly :-),0
your hate can't penetrate the total happiness and warmth I feel as I sit beneath the palm trees sipping margaritas #tequilaggedon,0
I hate it when I do things like that,0
no I hate the news! They showed that 51 things girl. It was like they discovered it but it was featured!!,0
tell her you are gay :),0
is spreading hate and mistruths...somebody school him #gaza,0
i twissed you! (twitter-missed yo ass).,0
damn  girl lol. do you kill 'em w/ kindness in real life too?,0
sucks. why/how are you being forced into that?,0
in other news  y'all gonna make me get back online just to see this lookin' ass kitty vid. *shakes fist*,0
"i hate ""the line."" i also hate the loud ""WHEEL OF FORTUNE"" sound bc that usually indicates a spin and EVERYBODY rushes over. nosy.",0
not w/ praline  yo. damn. pure defecation on my breakfast.,0
you don't have a mac? i'm super shocked  especially w/ the line of work you're in. macs piss on PCs  all day  urrday.,0
For serious? No fooling? Fuck yeah!,0
okay  not more. But equally.  I'd welcome a Moby Dick shooter  if it doesn't have a lot of cut scenes...,0
 #tcot if I only had the time. I hate it when conservatives say stupid things that make us all look bad.,0
UGH! That sucks! Do you know if they found it? Stresssss :( I'm sorry,0
I swear Michael Scott-esque loser somehow infiltrated your acct & bought lots of womens pantsuits & fur coats there.,0
hehe...that's too funny. reminds me of when a student drew a picture of a 'pigpen' as a pig atop a pencil. :),0
I freakin HATE THAT and anyone that knows me this is a top peeve of mine!!,0
Haha! Well Cyprus Bank's web interface sucks... So I'm considering trying out Alpha Bank. Also my landlord has Alpha bank... lol,0
Maybe there's no snow  but there's a little bit of mud when it rains  and there's kat/dog poo and piss on the streets... lol,0
Btw  have you seen School Rumble? It's fucking silly and stupid  but awesomely hilarious. I'm half-way through the first season.,0
damn right mami!,0
Totally agree on AC/DC. They are damn near the perfect rock n roll band.,0
Sucks about the van. Any mechanics you know owe you favors? Also  thankee sai for the package! Got it a couple days ago.,0
No worries man.  'Twas a question from me but  $800 later  I found out what the problem was.  Stupid fucking fuel pumps!,0
BWahahahahah!!! Now you know why I had to take extensions on my damn documentation projects!! Stupid Twitter! *kicks his gf's pc*,0
That majorly sucks! Sorry to hear it. I'd be SOOO pissed for days! Do you have insurance on it?,0
the new digitally animated one kicks much ass i think its called degeneration.,0
It's a necessary part of growth to shed the fat that was piled on during the boon of th 80s. #hhrs #tcot,0
damn those cute puppies!! How many gadgets I have lost for them.,0
That site just tells me I am fat  LOL,0
it's all about filtering. In addition to being less fat  my main 09 resolution is to be mindful about how I spend attention.,0
Lol and thanks for the challenge  but I think I need to be a little less fat first. Didn't know @karrock was local?,0
 mr big dick daddy 4rm cincinnati....ooooowwwww!!!!,0
May have to end up getting a MAC myself... and an iPhone... Although just can't get used to the touch screen. Fat fingers.,0
yep  i hate working with threads.,0
@johnwilliams713 I hate you both.,0
Actually I think we all hate this weather so everybody just stays in all the time,0
 While searching for leather binders for their Bibles  they use The Joy of Gay Sex as an insert. Handy.,0
Shit I hate the tough questions. Is maybe a valid answer?,0
No he's a cunt and wants a web site!,0
Fuck I forgot. Will watch now.,0
well fuck.....,0
I remember trying one of those when my teen was a little one.  Those damn tents make u wanna commit murder!,0
i was up till 2 am messin wit toys and batteries.  now i got a lil t-rex making noise in my house.  Damn noisy toys.,0
stay warm  Kyle. that sucks. we were lucky to get ours back today.,0
Hahaha... I guess I m loser now. I dont go out much! When I get my new job  maybe I will visit Longhis :),0
Thanks... you are the sweetest! :) Are they fat free?,0
myspace does not hate you.,0
that sucks I hope u can get out of it...where did u apply to?,0
"Often I feel like the only Jew who does not equate ""political criticism of Israel's actions"" and ""hate for all Jews"".",0
Vote or die  bitch!,0
oh wow dude thst one hell of a kick ass mission!,0
I hate to hear about all the accidents. People need to slow down and be more careful and even more so during the holiday season.,0
dead ass lol,0
ooooh! Don't make me come out there now! Whatchoo know about silk's freak me? Nah wait...you need to lose control first,0
I have you beat - amazon and a bunch of poser stores email me too haha,0
I hate to tell you this; your good name is being used for phishing! You should change your password. http://status.twitter.com/,0
Damn. That is tired.,0
btw i saw your gift last night. You are going to freak out.,0
Well then get some damn sleep ya dumbass! Lol,0
OMG! To damn funny. U need 2 video that shit. Lol,0
damn twitter.  Sheez...,0
Its freaking me out. 1999 wasn't long ago. But 10 years. FUCK.,0
i hate blackbird cause it's never enough food,0
after that aired on cnn  my mom wrote me an email asking i knew about emo and if i was ok...WAT,0
those damn kids ruin it for all of us!,0
YEP! HATE LIFE right now. HE is a computer hacker geek stay@home dad whom THEY HAD to move out of STATE!(she's a DR.) long story~,0
cont. I would get embarraced  I didnt do drugs but was like a HUGE man with what I could handle?sucks I guess if I wanted to ; ),0
wow... I feel like a real loser now! ; ) haha  better get my but in gear!,0
Thank You  Thank You.  I would hate to get banned from either  but. Phew! My bad...,0
Hate to say it to you or hurt your feelings  Justine  but your Steelers are going DOWN next weekend!,0
Damn.  Next thing you'll be telling me  Rumple of the Bailey isn't a documentary.,0
way to hate on me before 7 am!! Yes  and to ALL you tweets...I made the Lightening McQueen cake.,0
y do u post pictures of fat girls all the time.  Does it make u feel better?,0
lol fuck it &#58126;,0
what up freak nasty.,0
damn! good job.,0
"""fuck the recession""",0
hate you...it's freezing here...my nipples will freeze off before I get home,0
slut...just pelvic thrust anyone,0
god that show sucks...,0
will do :) ha I don't mean to sound gay but I have no layers in my hair after tour so well see how it goes ha,0
she ain't a bitch I'm just pretty awesome,0
nah  i just think i deserve it. sometimes  you have to reward yours. its been 3 years since my fat boy days,0
OMG. I kist realized ... I hope work doesn't think I'm calling in gay.,0
cunt!!!! i love you!!!!,0
i'm so fucking sick of being easily disposed of.  what's wrong with me kitty kat?,0
Thanks Kitty....... and hey  i'm thinking of calling in gay tomorrow too!,0
but u have to process the milk in some fashion to cut the fat content in half,0
Wait  you hate hfcs but you drink diet coke?  Head asplode.,0
Like fuck I am.,0
I'm your fucking Da and I'm not gonna come in tomorrow :),0
NINJAS kick ass they dont rape ass unlike pirates,0
why the fuck wouldn't you?,0
As a former newspaper man I have to tell you that I see no reason for a bailout. Then again I hate bailouts in general.,0
that PC thing is fucking awesome,0
Make sure it matches. I hate furnaces that clash with the house. sainless steal or gold go with anything.,0
That sucks man! Hope you start feeling better. I hope you and your family have a very Merry Christmas!,0
But i agree that Walmart sucks :),0
I'm doing both. And it sucks. But I've got a lot done (work-wise) & then will spend the day finishing some Christmas stuff,0
and let the merciless fun-making of the latin nerd commence....now.,0
The winner eats the blintz  and the loser(s) watch the winner eat the blintz. Marquess of Queensbury rules apply. En garde!,0
 yah  but YOU get to tweet from your couch or bed or whatever.  I gotta sit on this hard chair on my computer I hate.,0
